lh.aparc.foldind,lh_bankssts_foldind,lh_caudalanteriorcingulate_foldind,lh_caudalmiddlefrontal_foldind,lh_cuneus_foldind,lh_entorhinal_foldind,lh_fusiform_foldind,lh_inferiorparietal_foldind,lh_inferiortemporal_foldind,lh_isthmuscingulate_foldind,lh_lateraloccipital_foldind,lh_lateralorbitofrontal_foldind,lh_lingual_foldind,lh_medialorbitofrontal_foldind,lh_middletemporal_foldind,lh_parahippocampal_foldind,lh_paracentral_foldind,lh_parsopercularis_foldind,lh_parsorbitalis_foldind,lh_parstriangularis_foldind,lh_pericalcarine_foldind,lh_postcentral_foldind,lh_posteriorcingulate_foldind,lh_precentral_foldind,lh_precuneus_foldind,lh_rostralanteriorcingulate_foldind,lh_rostralmiddlefrontal_foldind,lh_superiorfrontal_foldind,lh_superiorparietal_foldind,lh_superiortemporal_foldind,lh_supramarginal_foldind,lh_frontalpole_foldind,lh_temporalpole_foldind,lh_transversetemporal_foldind,lh_insula_foldind,BrainSegVolNotVent,eTIV
28675,10.0,11.0,27.0,25.0,3.0,51.0,80.0,53.0,17.0,96.0,40.0,56.0,53.0,66.0,9.0,19.0,35.0,15.0,26.0,22.0,62.0,25.0,68.0,52.0,9.0,120.0,118.0,95.0,55.0,75.0,7.0,21.0,10.0,47.0,976551.0,1235748.859386
28676,14.0,8.0,31.0,42.0,16.0,48.0,114.0,68.0,30.0,109.0,82.0,70.0,33.0,76.0,38.0,28.0,31.0,23.0,34.0,44.0,87.0,16.0,108.0,79.0,16.0,164.0,185.0,152.0,128.0,108.0,10.0,23.0,11.0,72.0,1226287.0,1622703.451265
28677,39.0,10.0,34.0,26.0,12.0,57.0,74.0,63.0,22.0,78.0,53.0,174.0,29.0,60.0,9.0,17.0,35.0,17.0,31.0,61.0,62.0,24.0,85.0,66.0,12.0,110.0,126.0,83.0,79.0,100.0,7.0,20.0,11.0,32.0,1064034.0,1299387.496322
28678,5.0,13.0,25.0,23.0,3.0,40.0,71.0,43.0,17.0,84.0,45.0,54.0,43.0,46.0,14.0,15.0,24.0,21.0,23.0,19.0,60.0,16.0,65.0,47.0,10.0,125.0,90.0,90.0,53.0,78.0,7.0,10.0,7.0,36.0,1009267.0,1274348.424768
28679,11.0,13.0,30.0,28.0,6.0,56.0,121.0,48.0,23.0,128.0,62.0,65.0,42.0,89.0,13.0,17.0,28.0,17.0,22.0,28.0,77.0,23.0,92.0,76.0,16.0,104.0,126.0,94.0,66.0,79.0,8.0,11.0,8.0,89.0,1222816.0,1591462.955935
28681,14.0,18.0,49.0,24.0,4.0,53.0,90.0,74.0,15.0,89.0,61.0,47.0,46.0,70.0,8.0,15.0,19.0,19.0,17.0,17.0,75.0,22.0,64.0,56.0,12.0,142.0,134.0,81.0,57.0,55.0,9.0,9.0,11.0,28.0,1182605.0,1629156.478704
28682,29.0,12.0,53.0,23.0,11.0,108.0,63.0,132.0,36.0,127.0,60.0,73.0,37.0,95.0,34.0,27.0,38.0,13.0,41.0,22.0,82.0,22.0,77.0,37.0,15.0,97.0,190.0,45.0,72.0,54.0,8.0,25.0,9.0,73.0,1197503.0,1702028.175445
28683,19.0,10.0,35.0,23.0,3.0,54.0,107.0,66.0,19.0,84.0,30.0,52.0,31.0,74.0,9.0,17.0,21.0,2.0,9.0,16.0,66.0,21.0,75.0,59.0,6.0,80.0,102.0,94.0,83.0,104.0,5.0,17.0,8.0,37.0,1127334.0,1361589.469991
28684,19.0,13.0,52.0,50.0,6.0,59.0,146.0,76.0,24.0,146.0,49.0,78.0,41.0,80.0,11.0,19.0,33.0,13.0,25.0,34.0,71.0,23.0,84.0,66.0,16.0,151.0,158.0,92.0,86.0,97.0,9.0,11.0,12.0,83.0,1298182.0,2399279.591519
28685,12.0,9.0,60.0,31.0,8.0,56.0,85.0,56.0,20.0,85.0,47.0,57.0,104.0,57.0,9.0,18.0,44.0,23.0,26.0,32.0,74.0,15.0,88.0,68.0,16.0,97.0,101.0,94.0,84.0,56.0,7.0,18.0,9.0,37.0,986191.0,1379092.7633
28686,17.0,22.0,66.0,39.0,9.0,80.0,116.0,58.0,27.0,138.0,67.0,81.0,47.0,67.0,13.0,20.0,41.0,35.0,29.0,27.0,82.0,21.0,102.0,82.0,15.0,148.0,149.0,136.0,98.0,107.0,9.0,10.0,12.0,57.0,1335458.0,1788125.552591
28687,7.0,13.0,41.0,42.0,8.0,51.0,110.0,112.0,23.0,146.0,54.0,86.0,34.0,67.0,8.0,20.0,25.0,14.0,21.0,32.0,67.0,26.0,76.0,77.0,16.0,138.0,115.0,99.0,58.0,86.0,10.0,10.0,6.0,36.0,1181876.0,1559027.632364
28688,13.0,10.0,39.0,31.0,12.0,79.0,105.0,80.0,22.0,148.0,53.0,76.0,45.0,72.0,15.0,17.0,24.0,23.0,27.0,21.0,103.0,35.0,83.0,80.0,16.0,160.0,126.0,99.0,84.0,143.0,6.0,14.0,10.0,50.0,1334612.0,1706529.901474
28690,15.0,8.0,51.0,39.0,9.0,43.0,83.0,66.0,25.0,103.0,54.0,65.0,34.0,68.0,62.0,19.0,25.0,17.0,25.0,26.0,79.0,22.0,83.0,61.0,11.0,143.0,163.0,77.0,77.0,101.0,8.0,14.0,7.0,55.0,1240485.0,1612319.450459
28691,15.0,13.0,35.0,37.0,8.0,65.0,72.0,82.0,19.0,120.0,46.0,58.0,41.0,86.0,12.0,29.0,29.0,20.0,26.0,22.0,78.0,18.0,60.0,73.0,24.0,146.0,109.0,107.0,65.0,71.0,9.0,17.0,8.0,44.0,1195487.0,1623488.210408
28692,11.0,10.0,32.0,36.0,10.0,61.0,93.0,89.0,21.0,115.0,52.0,61.0,40.0,85.0,11.0,18.0,23.0,17.0,23.0,25.0,67.0,22.0,69.0,60.0,14.0,140.0,139.0,106.0,78.0,96.0,8.0,11.0,8.0,37.0,1151732.0,1510541.372515
28693,7.0,8.0,42.0,22.0,18.0,39.0,94.0,50.0,25.0,90.0,43.0,49.0,42.0,58.0,28.0,18.0,26.0,12.0,16.0,19.0,72.0,9.0,71.0,41.0,11.0,87.0,105.0,105.0,78.0,65.0,8.0,20.0,8.0,36.0,920658.0,1373065.167184
28694,8.0,9.0,33.0,31.0,6.0,46.0,83.0,66.0,28.0,121.0,46.0,55.0,24.0,99.0,18.0,16.0,29.0,10.0,26.0,23.0,61.0,26.0,63.0,67.0,11.0,119.0,121.0,101.0,71.0,87.0,6.0,7.0,8.0,53.0,1195332.0,1641979.967402
28695,22.0,7.0,34.0,25.0,4.0,61.0,94.0,70.0,17.0,76.0,85.0,50.0,61.0,71.0,10.0,18.0,27.0,19.0,30.0,14.0,69.0,18.0,71.0,76.0,16.0,129.0,156.0,81.0,103.0,115.0,9.0,16.0,10.0,48.0,1197988.0,1569602.799874
28696,9.0,15.0,45.0,32.0,13.0,38.0,124.0,47.0,35.0,123.0,50.0,60.0,43.0,57.0,34.0,27.0,24.0,17.0,25.0,30.0,70.0,23.0,72.0,71.0,19.0,128.0,128.0,80.0,72.0,64.0,10.0,8.0,8.0,98.0,1116165.0,1464651.774344
28697,10.0,11.0,30.0,33.0,5.0,71.0,110.0,78.0,21.0,108.0,74.0,91.0,50.0,63.0,22.0,20.0,36.0,22.0,36.0,34.0,66.0,23.0,71.0,65.0,102.0,157.0,161.0,104.0,45.0,87.0,6.0,9.0,4.0,131.0,1203425.0,1064500.287294
28698,7.0,12.0,39.0,39.0,18.0,51.0,88.0,74.0,29.0,102.0,48.0,67.0,52.0,70.0,10.0,18.0,24.0,18.0,21.0,16.0,63.0,23.0,77.0,82.0,14.0,100.0,99.0,99.0,73.0,214.0,9.0,34.0,5.0,55.0,1214472.0,1741833.129001
28699,13.0,6.0,26.0,28.0,4.0,59.0,128.0,71.0,24.0,89.0,66.0,64.0,36.0,85.0,7.0,16.0,23.0,14.0,19.0,28.0,70.0,21.0,75.0,64.0,15.0,129.0,124.0,105.0,79.0,111.0,10.0,17.0,10.0,58.0,1185186.0,1528514.529953
28700,13.0,12.0,21.0,31.0,6.0,48.0,101.0,61.0,15.0,96.0,52.0,49.0,35.0,57.0,10.0,15.0,22.0,11.0,14.0,23.0,59.0,14.0,63.0,65.0,9.0,92.0,87.0,92.0,55.0,79.0,7.0,13.0,8.0,30.0,981788.0,1235123.465615
28701,12.0,10.0,27.0,29.0,7.0,44.0,105.0,85.0,17.0,115.0,40.0,71.0,52.0,89.0,14.0,17.0,25.0,12.0,24.0,20.0,69.0,17.0,72.0,64.0,12.0,138.0,104.0,106.0,72.0,101.0,9.0,11.0,7.0,28.0,1303898.0,1757915.923551
28702,11.0,16.0,38.0,46.0,9.0,57.0,102.0,56.0,21.0,160.0,48.0,69.0,34.0,72.0,10.0,18.0,16.0,17.0,21.0,36.0,102.0,21.0,96.0,62.0,14.0,123.0,105.0,123.0,58.0,80.0,5.0,15.0,9.0,37.0,1111560.0,2167270.02255
