rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
28675,752.0,522.0,2000.0,1210.0,305.0,2601.0,5607.0,3042.0,950.0,5774.0,2501.0,2838.0,1730.0,3280.0,599.0,1321.0,1351.0,787.0,1583.0,1161.0,3286.0,1044.0,4386.0,3604.0,398.0,6153.0,6419.0,5917.0,3305.0,3547.0,317.0,370.0,306.0,1993.0,80960.5,976551.0,1235748.859386
28676,1204.0,619.0,2543.0,1829.0,389.0,2114.0,8802.0,2224.0,1443.0,5327.0,2832.0,2853.0,2068.0,3641.0,900.0,1752.0,1543.0,936.0,2023.0,1753.0,4503.0,1093.0,5645.0,5064.0,433.0,7125.0,9233.0,7672.0,4665.0,4702.0,267.0,370.0,418.0,2941.0,100930.0,1226287.0,1622703.451265
28677,1113.0,684.0,1472.0,960.0,337.0,2948.0,6638.0,3698.0,582.0,6948.0,2905.0,2643.0,1544.0,4324.0,566.0,1565.0,1193.0,842.0,1520.0,1296.0,4020.0,1115.0,4458.0,2030.0,395.0,5256.0,6446.0,4984.0,4201.0,4725.0,277.0,476.0,392.0,2251.0,84803.6,1064034.0,1299387.496322
28678,1149.0,600.0,2238.0,1505.0,227.0,2622.0,6237.0,2463.0,776.0,5300.0,2551.0,2383.0,1900.0,3277.0,622.0,1224.0,1095.0,941.0,1257.0,1335.0,4029.0,945.0,4481.0,3445.0,659.0,5455.0,6171.0,5471.0,3757.0,3960.0,296.0,246.0,360.0,1841.0,80819.8,1009267.0,1274348.424768
28679,1260.0,899.0,2572.0,1838.0,194.0,3494.0,7258.0,3367.0,967.0,6854.0,3212.0,3276.0,2066.0,4634.0,592.0,2129.0,1777.0,964.0,1964.0,1567.0,4788.0,1435.0,5677.0,4774.0,672.0,6768.0,7607.0,6202.0,4601.0,4464.0,419.0,236.0,366.0,2128.0,101021.0,1222816.0,1591462.955935
28681,1174.0,882.0,2798.0,1608.0,236.0,3236.0,7340.0,4004.0,886.0,5853.0,2903.0,2298.0,1515.0,4306.0,657.0,1609.0,1118.0,775.0,1579.0,1776.0,4320.0,1325.0,5519.0,3781.0,470.0,6287.0,8565.0,5034.0,3975.0,3495.0,348.0,393.0,343.0,2562.0,92971.0,1182605.0,1629156.478704
28682,1831.0,722.0,3868.0,1705.0,305.0,3247.0,6661.0,3202.0,1144.0,5076.0,2949.0,2959.0,2043.0,4583.0,653.0,2044.0,2343.0,1121.0,2056.0,1525.0,4634.0,1345.0,5988.0,4397.0,488.0,8938.0,10313.0,5856.0,4933.0,4333.0,426.0,615.0,436.0,2762.0,105499.0,1197503.0,1702028.175445
28683,1274.0,684.0,3424.0,1197.0,236.0,3484.0,5285.0,3649.0,1040.0,4300.0,2984.0,2919.0,1833.0,4355.0,772.0,1698.0,2046.0,1043.0,2427.0,1075.0,4444.0,1335.0,5942.0,3966.0,486.0,8078.0,9358.0,5357.0,4990.0,5191.0,450.0,438.0,414.0,2326.0,98499.4,1127334.0,1361589.469991
28684,1306.0,604.0,3341.0,1778.0,272.0,3453.0,5129.0,3297.0,1136.0,5562.0,3066.0,3779.0,1850.0,4540.0,776.0,1665.0,1694.0,1028.0,1707.0,1593.0,4971.0,1249.0,5413.0,4902.0,466.0,8434.0,9172.0,5924.0,4810.0,4212.0,477.0,385.0,440.0,3081.0,101513.0,1298182.0,2399279.591519
28685,1315.0,613.0,2416.0,1855.0,410.0,2570.0,6643.0,3640.0,815.0,6310.0,2917.0,3254.0,1948.0,4760.0,499.0,1696.0,1643.0,1208.0,1838.0,1912.0,3989.0,1140.0,5179.0,3759.0,388.0,6355.0,7290.0,5391.0,4429.0,4533.0,492.0,555.0,422.0,2118.0,94301.6,986191.0,1379092.7633
