rh.aparc.curvind,rh_bankssts_curvind,rh_caudalanteriorcingulate_curvind,rh_caudalmiddlefrontal_curvind,rh_cuneus_curvind,rh_entorhinal_curvind,rh_fusiform_curvind,rh_inferiorparietal_curvind,rh_inferiortemporal_curvind,rh_isthmuscingulate_curvind,rh_lateraloccipital_curvind,rh_lateralorbitofrontal_curvind,rh_lingual_curvind,rh_medialorbitofrontal_curvind,rh_middletemporal_curvind,rh_parahippocampal_curvind,rh_paracentral_curvind,rh_parsopercularis_curvind,rh_parsorbitalis_curvind,rh_parstriangularis_curvind,rh_pericalcarine_curvind,rh_postcentral_curvind,rh_posteriorcingulate_curvind,rh_precentral_curvind,rh_precuneus_curvind,rh_rostralanteriorcingulate_curvind,rh_rostralmiddlefrontal_curvind,rh_superiorfrontal_curvind,rh_superiorparietal_curvind,rh_superiortemporal_curvind,rh_supramarginal_curvind,rh_frontalpole_curvind,rh_temporalpole_curvind,rh_transversetemporal_curvind,rh_insula_curvind,BrainSegVolNotVent,eTIV
28675,1.3,1.0,3.1,2.8,0.8,6.6,14.7,7.6,2.1,16.9,7.3,7.8,5.4,8.4,1.3,2.4,2.9,1.9,3.8,2.8,5.3,2.3,8.2,7.6,0.8,13.9,12.5,13.6,6.0,7.1,0.8,1.1,0.8,5.1,976551.0,1235748.859386
28676,2.3,0.9,5.3,4.9,0.9,4.7,35.8,5.1,3.8,15.3,8.3,9.5,5.7,11.6,2.4,3.8,3.4,1.9,3.9,5.4,10.8,2.1,16.4,11.3,0.9,16.3,20.6,20.1,13.7,15.1,0.8,1.7,1.0,10.7,1226287.0,1622703.451265
28677,2.3,1.5,2.9,4.9,1.2,7.1,21.0,11.2,1.7,22.9,9.5,8.0,5.1,13.5,1.5,3.6,2.5,2.0,3.0,3.9,9.5,2.9,9.6,8.1,1.0,10.9,13.8,22.2,9.8,11.7,0.7,1.6,1.0,6.7,1064034.0,1299387.496322
28678,1.5,1.0,4.2,3.3,0.9,5.3,18.7,5.1,1.7,12.3,6.9,5.7,4.7,8.7,1.5,2.1,2.1,1.8,2.3,3.0,9.4,1.8,11.4,7.5,1.6,11.4,10.9,12.0,6.6,11.5,0.6,1.1,0.9,4.5,1009267.0,1274348.424768
28679,2.3,1.7,4.6,4.3,0.9,9.0,17.1,8.2,2.4,16.6,9.9,8.9,7.3,12.8,1.5,4.3,3.4,2.0,4.4,4.6,10.6,3.0,12.4,9.8,1.7,15.1,15.1,11.9,9.7,11.1,1.4,1.0,1.1,5.4,1222816.0,1591462.955935
28681,1.8,1.6,4.8,4.3,0.7,8.7,17.4,10.9,2.2,13.8,10.0,6.0,4.8,10.0,1.5,3.0,2.0,1.9,2.8,4.1,8.3,2.7,10.8,7.2,0.9,13.5,17.4,9.9,8.0,7.2,1.0,1.2,1.1,9.6,1182605.0,1629156.478704
28682,5.4,1.3,10.2,5.7,1.2,10.2,25.3,9.8,4.1,15.1,9.9,11.2,6.7,13.9,2.1,5.2,7.0,3.7,5.5,5.0,13.0,3.8,17.2,12.4,1.2,27.3,26.6,19.4,14.4,14.6,1.8,1.9,1.2,9.2,1197503.0,1702028.175445
28683,2.2,1.2,6.2,3.3,1.0,8.6,14.8,8.3,2.6,14.6,8.8,8.3,4.9,12.5,1.8,3.6,4.6,2.9,7.0,2.8,10.6,2.9,15.2,8.9,1.6,23.1,22.4,12.9,12.6,16.0,1.5,2.0,1.1,6.2,1127334.0,1361589.469991
28684,2.1,0.9,5.4,5.0,0.9,7.4,13.3,6.2,2.3,19.1,8.3,10.2,4.3,8.2,2.1,3.0,3.6,2.0,3.0,4.1,9.3,2.2,11.3,9.5,0.9,20.2,19.5,12.0,9.7,9.3,1.4,1.3,1.2,9.9,1298182.0,2399279.591519
28685,4.6,1.4,6.9,5.1,1.9,7.2,23.9,15.9,2.7,22.7,11.6,9.4,7.4,19.9,1.2,4.2,5.8,6.4,7.0,6.1,11.9,3.1,16.8,8.8,1.4,23.7,22.0,15.6,14.0,15.2,2.6,2.8,1.2,8.0,986191.0,1379092.7633
