rh.aparc.gauscurv,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
28675,0.027,0.03,0.026,0.04,0.052,0.046,0.041,0.045,0.042,0.046,0.057,0.051,0.058,0.043,0.039,0.03,0.037,0.047,0.04,0.045,0.028,0.039,0.03,0.036,0.04,0.04,0.033,0.038,0.034,0.033,0.059,0.072,0.053,0.043,976551.0,1235748.859386
28676,0.033,0.026,0.037,0.055,0.053,0.04,0.062,0.041,0.051,0.047,0.056,0.066,0.053,0.052,0.051,0.042,0.043,0.041,0.042,0.059,0.04,0.035,0.048,0.043,0.035,0.043,0.045,0.046,0.047,0.053,0.062,0.091,0.05,0.061,1226287.0,1622703.451265
28677,0.035,0.04,0.04,0.091,0.069,0.049,0.05,0.053,0.06,0.053,0.06,0.063,0.061,0.054,0.045,0.04,0.041,0.046,0.041,0.051,0.043,0.044,0.037,0.064,0.045,0.04,0.04,0.069,0.042,0.044,0.065,0.07,0.052,0.052,1064034.0,1299387.496322
28678,0.019,0.031,0.033,0.037,0.06,0.036,0.045,0.039,0.047,0.036,0.048,0.042,0.051,0.04,0.041,0.032,0.036,0.044,0.036,0.041,0.037,0.037,0.042,0.035,0.048,0.04,0.032,0.036,0.031,0.048,0.044,0.086,0.043,0.041,1009267.0,1274348.424768
28679,0.032,0.037,0.029,0.043,0.056,0.048,0.04,0.044,0.052,0.04,0.059,0.05,0.058,0.047,0.046,0.038,0.029,0.044,0.038,0.056,0.038,0.037,0.034,0.037,0.052,0.037,0.034,0.034,0.036,0.043,0.07,0.08,0.049,0.047,1222816.0,1591462.955935
28681,0.024,0.034,0.029,0.046,0.051,0.047,0.041,0.043,0.048,0.038,0.063,0.051,0.061,0.039,0.042,0.032,0.032,0.044,0.032,0.041,0.033,0.038,0.034,0.032,0.039,0.039,0.035,0.034,0.034,0.036,0.062,0.071,0.064,0.061,1182605.0,1629156.478704
28682,0.047,0.032,0.045,0.059,0.071,0.059,0.063,0.057,0.066,0.053,0.062,0.065,0.059,0.056,0.066,0.047,0.052,0.063,0.051,0.056,0.049,0.051,0.048,0.05,0.04,0.053,0.047,0.055,0.052,0.059,0.075,0.061,0.057,0.06,1197503.0,1702028.175445
28683,0.027,0.038,0.032,0.047,0.061,0.046,0.046,0.039,0.051,0.057,0.052,0.056,0.053,0.048,0.034,0.039,0.043,0.056,0.051,0.047,0.037,0.042,0.043,0.039,0.066,0.049,0.044,0.04,0.039,0.05,0.071,0.093,0.054,0.044,1127334.0,1361589.469991
28684,0.024,0.025,0.029,0.05,0.063,0.04,0.042,0.035,0.042,0.055,0.051,0.053,0.048,0.034,0.052,0.033,0.041,0.041,0.035,0.043,0.031,0.037,0.034,0.035,0.029,0.04,0.035,0.035,0.033,0.036,0.056,0.065,0.052,0.058,1298182.0,2399279.591519
28685,0.061,0.036,0.05,0.053,0.085,0.052,0.059,0.069,0.059,0.058,0.07,0.057,0.067,0.07,0.048,0.045,0.062,0.082,0.069,0.057,0.05,0.053,0.054,0.042,0.059,0.067,0.05,0.049,0.05,0.055,0.097,0.088,0.06,0.06,986191.0,1379092.7633
28686,0.04,0.034,0.044,0.057,0.073,0.046,0.056,0.049,0.05,0.046,0.063,0.053,0.054,0.045,0.051,0.042,0.045,0.056,0.039,0.044,0.043,0.048,0.052,0.047,0.05,0.051,0.044,0.049,0.047,0.051,0.07,0.085,0.056,0.059,1335458.0,1788125.552591
