rh.aparc.thicknessstd,rh_bankssts_thicknessstd,rh_caudalanteriorcingulate_thicknessstd,rh_caudalmiddlefrontal_thicknessstd,rh_cuneus_thicknessstd,rh_entorhinal_thicknessstd,rh_fusiform_thicknessstd,rh_inferiorparietal_thicknessstd,rh_inferiortemporal_thicknessstd,rh_isthmuscingulate_thicknessstd,rh_lateraloccipital_thicknessstd,rh_lateralorbitofrontal_thicknessstd,rh_lingual_thicknessstd,rh_medialorbitofrontal_thicknessstd,rh_middletemporal_thicknessstd,rh_parahippocampal_thicknessstd,rh_paracentral_thicknessstd,rh_parsopercularis_thicknessstd,rh_parsorbitalis_thicknessstd,rh_parstriangularis_thicknessstd,rh_pericalcarine_thicknessstd,rh_postcentral_thicknessstd,rh_posteriorcingulate_thicknessstd,rh_precentral_thicknessstd,rh_precuneus_thicknessstd,rh_rostralanteriorcingulate_thicknessstd,rh_rostralmiddlefrontal_thicknessstd,rh_superiorfrontal_thicknessstd,rh_superiorparietal_thicknessstd,rh_superiortemporal_thicknessstd,rh_supramarginal_thicknessstd,rh_frontalpole_thicknessstd,rh_temporalpole_thicknessstd,rh_transversetemporal_thicknessstd,rh_insula_thicknessstd,BrainSegVolNotVent,eTIV
28675,0.399,0.65,0.423,0.575,0.688,0.633,0.634,0.702,0.801,0.579,0.724,0.692,0.784,0.647,0.818,0.516,0.491,0.656,0.564,0.635,0.568,0.819,0.562,0.563,0.752,0.531,0.593,0.466,0.621,0.561,0.672,0.895,0.452,0.824,976551.0,1235748.859386
28676,0.415,0.685,0.565,0.448,0.679,0.584,0.672,0.67,0.734,0.65,0.699,0.573,0.664,0.752,0.579,0.491,0.495,0.558,0.472,0.466,0.594,0.645,0.582,0.507,0.902,0.477,0.588,0.531,0.768,0.634,0.499,0.675,0.379,0.913,1226287.0,1622703.451265
28677,0.581,0.744,0.47,0.854,0.778,0.607,0.607,0.642,0.66,0.597,0.801,0.6,0.704,0.727,0.643,0.555,0.464,0.517,0.478,0.574,0.476,0.766,0.546,0.644,0.787,0.521,0.607,0.642,0.724,0.572,0.635,0.88,0.453,1.062,1064034.0,1299387.496322
28678,0.511,0.78,0.439,0.484,0.97,0.602,0.671,0.712,0.755,0.729,0.642,0.636,0.742,0.813,0.73,0.55,0.549,0.581,0.58,0.551,0.669,0.827,0.639,0.598,0.667,0.596,0.619,0.626,0.656,0.694,0.631,0.73,0.405,0.952,1009267.0,1274348.424768
28679,0.488,0.889,0.569,0.407,0.739,0.595,0.584,0.701,0.755,0.594,0.63,0.616,0.644,0.75,0.702,0.496,0.531,0.588,0.597,0.463,0.615,0.749,0.576,0.503,0.89,0.577,0.566,0.497,0.68,0.543,0.638,0.523,0.466,0.816,1222816.0,1591462.955935
28681,0.513,0.796,0.498,0.389,0.789,0.649,0.537,0.799,0.816,0.605,0.821,0.681,0.675,0.754,0.622,0.484,0.51,0.589,0.555,0.417,0.602,0.836,0.567,0.554,0.796,0.49,0.627,0.482,0.673,0.535,0.782,0.945,0.459,0.902,1182605.0,1629156.478704
28682,0.645,0.86,0.526,0.694,0.58,0.646,0.618,0.739,0.771,0.582,0.707,0.754,0.784,0.683,0.566,0.507,0.583,0.544,0.642,0.639,0.541,0.792,0.537,0.587,0.741,0.57,0.596,0.503,0.665,0.529,0.76,0.745,0.489,1.0,1197503.0,1702028.175445
28683,0.405,0.778,0.506,0.662,0.717,0.623,0.741,0.701,0.825,0.853,0.654,0.756,0.714,0.726,0.589,0.536,0.656,0.655,0.59,0.549,0.564,0.957,0.562,0.581,0.74,0.52,0.617,0.435,0.68,0.692,0.696,0.892,0.473,0.928,1127334.0,1361589.469991
28684,0.409,0.734,0.455,0.6,0.67,0.611,0.753,0.704,0.751,0.69,0.686,0.588,0.625,0.653,0.617,0.491,0.433,0.592,0.514,0.481,0.647,0.88,0.561,0.493,0.833,0.517,0.565,0.495,0.672,0.613,0.671,0.804,0.465,0.973,1298182.0,2399279.591519
28685,0.722,0.678,0.635,0.547,0.801,0.639,0.608,0.757,0.74,0.604,0.766,0.715,0.735,0.76,0.929,0.539,0.652,0.696,0.635,0.58,0.626,0.745,0.651,0.539,0.92,0.553,0.78,0.527,0.792,0.678,0.682,0.856,0.65,0.801,986191.0,1379092.7633
28686,0.599,0.923,0.567,0.46,0.979,0.632,0.675,0.733,0.828,0.542,0.806,0.575,0.837,0.902,0.693,0.542,0.568,0.787,0.632,0.562,0.572,0.801,0.627,0.625,0.792,0.609,0.684,0.543,0.745,0.604,0.793,0.894,0.513,0.806,1335458.0,1788125.552591
28687,0.447,0.678,0.48,0.453,1.021,0.744,0.495,0.693,0.674,0.553,0.769,0.591,0.717,0.777,0.723,0.52,0.572,0.662,0.539,0.411,0.589,0.793,0.532,0.484,0.826,0.522,0.581,0.46,0.681,0.545,0.72,0.617,0.436,0.834,1181876.0,1559027.632364
28688,0.552,0.683,0.535,0.531,0.911,0.578,0.642,0.692,0.846,0.745,0.619,0.601,0.623,0.784,0.698,0.59,0.553,0.55,0.563,0.426,0.59,0.712,0.614,0.53,0.713,0.561,0.632,0.584,0.781,0.636,0.609,0.783,0.511,0.861,1334612.0,1706529.901474
28690,0.543,0.581,0.428,0.464,0.735,0.699,0.603,0.705,0.853,0.6,0.638,0.661,0.644,0.814,0.713,0.59,0.571,0.598,0.473,0.537,0.618,0.725,0.619,0.492,0.652,0.51,0.587,0.552,0.757,0.621,0.595,0.893,0.58,0.87,1240485.0,1612319.450459
