rh.aparc.volume,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
28675,1707.0,1562.0,5567.0,3120.0,853.0,8771.0,12876.0,9979.0,2758.0,11491.0,8049.0,8115.0,6044.0,10289.0,2071.0,3343.0,4091.0,2785.0,4485.0,2117.0,7478.0,2921.0,12045.0,9957.0,1465.0,16597.0,19822.0,13446.0,10824.0,9752.0,1274.0,1900.0,829.0,6591.0,976551.0,1235748.859386
28676,2662.0,1462.0,7342.0,4271.0,1481.0,5802.0,15670.0,7084.0,3583.0,11310.0,8452.0,7176.0,5916.0,10129.0,2271.0,4672.0,4261.0,2706.0,5605.0,3038.0,9140.0,2733.0,12377.0,13040.0,1552.0,16379.0,27634.0,15798.0,12283.0,9799.0,1100.0,980.0,1332.0,8695.0,1226287.0,1622703.451265
28677,2363.0,1989.0,3814.0,2659.0,1224.0,7821.0,15309.0,9704.0,1223.0,15593.0,8888.0,6955.0,4446.0,11002.0,1398.0,4810.0,3696.0,2863.0,4487.0,2088.0,11501.0,2793.0,12750.0,4876.0,1383.0,13991.0,19844.0,11036.0,13798.0,11869.0,1243.0,2498.0,1178.0,7463.0,1064034.0,1299387.496322
28678,3175.0,1807.0,6044.0,3419.0,969.0,7860.0,14455.0,8709.0,1964.0,11393.0,7956.0,6626.0,5925.0,10283.0,1760.0,3432.0,3379.0,3586.0,4349.0,2336.0,9883.0,2728.0,12579.0,10103.0,2207.0,16810.0,20284.0,15412.0,12886.0,10300.0,1298.0,714.0,958.0,6431.0,1009267.0,1274348.424768
28679,3510.0,2646.0,7680.0,3823.0,652.0,9691.0,18384.0,9318.0,2557.0,15460.0,9542.0,6610.0,5203.0,15614.0,1672.0,5432.0,5408.0,3172.0,5737.0,2537.0,11789.0,3763.0,15908.0,12163.0,2450.0,20569.0,24014.0,15525.0,16540.0,11843.0,1773.0,575.0,869.0,6537.0,1222816.0,1591462.955935
28681,3071.0,2795.0,8406.0,3579.0,840.0,9951.0,19235.0,14306.0,2486.0,14474.0,9602.0,5860.0,4184.0,15423.0,1646.0,4405.0,3506.0,3058.0,4658.0,3359.0,11406.0,3930.0,15953.0,10594.0,1743.0,18074.0,27089.0,13015.0,14412.0,10074.0,1492.0,2307.0,869.0,9900.0,1182605.0,1629156.478704
28682,3482.0,1710.0,8976.0,4512.0,889.0,9213.0,15846.0,9984.0,2911.0,12086.0,8167.0,8210.0,6447.0,12126.0,1509.0,4840.0,5580.0,3011.0,5436.0,2918.0,9822.0,3519.0,12953.0,11299.0,1419.0,18764.0,28295.0,12485.0,12931.0,10025.0,1196.0,3319.0,1232.0,8340.0,1197503.0,1702028.175445
28683,3091.0,1857.0,9012.0,2568.0,654.0,11534.0,12953.0,10655.0,3034.0,9089.0,8382.0,8161.0,5727.0,11926.0,2092.0,4260.0,6125.0,3029.0,5821.0,2162.0,9212.0,4025.0,14545.0,10335.0,1493.0,17347.0,25852.0,10854.0,13567.0,11448.0,1513.0,1957.0,1271.0,7640.0,1127334.0,1361589.469991
28684,3561.0,1421.0,10254.0,4362.0,839.0,10587.0,12374.0,10402.0,2983.0,11105.0,8454.0,8966.0,4958.0,17231.0,2152.0,4287.0,5055.0,3576.0,5632.0,2958.0,11233.0,3196.0,14563.0,12959.0,1596.0,21481.0,26477.0,14698.0,15644.0,11155.0,1720.0,1123.0,1181.0,9067.0,1298182.0,2399279.591519
28685,2514.0,1658.0,6758.0,4026.0,1545.0,7356.0,14102.0,8244.0,2273.0,11231.0,6264.0,7891.0,5034.0,10028.0,1746.0,4551.0,4023.0,2340.0,4212.0,3581.0,9308.0,3485.0,13601.0,9798.0,1308.0,12371.0,21257.0,12331.0,10634.0,10366.0,733.0,2153.0,1187.0,4949.0,986191.0,1379092.7633
28686,3193.0,2932.0,10945.0,4676.0,1168.0,8519.0,18958.0,10165.0,3029.0,13818.0,10124.0,9383.0,7256.0,14043.0,1641.0,4373.0,4962.0,2386.0,5049.0,3244.0,10856.0,4051.0,15337.0,15891.0,2564.0,19600.0,30993.0,17637.0,14637.0,10825.0,1517.0,1938.0,1148.0,7232.0,1335458.0,1788125.552591
