lh.aparc.gauscurv,lh_bankssts_gauscurv,lh_caudalanteriorcingulate_gauscurv,lh_caudalmiddlefrontal_gauscurv,lh_cuneus_gauscurv,lh_entorhinal_gauscurv,lh_fusiform_gauscurv,lh_inferiorparietal_gauscurv,lh_inferiortemporal_gauscurv,lh_isthmuscingulate_gauscurv,lh_lateraloccipital_gauscurv,lh_lateralorbitofrontal_gauscurv,lh_lingual_gauscurv,lh_medialorbitofrontal_gauscurv,lh_middletemporal_gauscurv,lh_parahippocampal_gauscurv,lh_paracentral_gauscurv,lh_parsopercularis_gauscurv,lh_parsorbitalis_gauscurv,lh_parstriangularis_gauscurv,lh_pericalcarine_gauscurv,lh_postcentral_gauscurv,lh_posteriorcingulate_gauscurv,lh_precentral_gauscurv,lh_precuneus_gauscurv,lh_rostralanteriorcingulate_gauscurv,lh_rostralmiddlefrontal_gauscurv,lh_superiorfrontal_gauscurv,lh_superiorparietal_gauscurv,lh_superiortemporal_gauscurv,lh_supramarginal_gauscurv,lh_frontalpole_gauscurv,lh_temporalpole_gauscurv,lh_transversetemporal_gauscurv,lh_insula_gauscurv,BrainSegVolNotVent,eTIV
50002,0.016,0.018,0.025,0.037,0.022,0.028,0.031,0.031,0.025,0.037,0.031,0.044,0.032,0.025,0.022,0.028,0.019,0.03,0.017,0.04,0.021,0.027,0.022,0.027,0.025,0.034,0.028,0.023,0.021,0.027,0.047,0.037,0.049,0.042,1321770.0,1581680.648957
50003,0.016,0.019,0.026,0.042,0.023,0.039,0.037,0.036,0.051,0.052,0.048,0.047,0.04,0.03,0.029,0.024,0.029,0.059,0.033,0.045,0.027,0.033,0.029,0.034,0.038,0.039,0.03,0.029,0.023,0.034,0.077,0.033,0.043,0.042,1227397.0,1249185.244084
50004,0.012,0.019,0.022,0.03,0.028,0.029,0.027,0.028,0.027,0.033,0.037,0.029,0.051,0.025,0.019,0.02,0.023,0.037,0.026,0.029,0.023,0.026,0.024,0.025,0.028,0.031,0.027,0.023,0.021,0.025,0.047,0.038,0.023,0.034,1298281.0,1615701.767035
50005,0.017,0.029,0.022,0.034,0.029,0.03,0.027,0.038,0.027,0.041,0.034,0.038,0.037,0.031,0.025,0.026,0.024,0.035,0.03,0.033,0.025,0.034,0.026,0.026,0.034,0.034,0.027,0.029,0.029,0.033,0.07,0.051,0.053,0.04,1145298.0,1529550.028163
50006,0.02,0.017,0.026,0.035,0.02,0.031,0.026,0.031,0.025,0.032,0.04,0.039,0.055,0.028,0.018,0.024,0.024,0.032,0.025,0.031,0.025,0.022,0.023,0.026,0.038,0.028,0.028,0.025,0.021,0.028,0.06,0.037,0.039,0.029,1272491.0,1538144.912988
50007,0.023,0.016,0.028,0.052,0.051,0.037,0.032,0.038,0.031,0.048,0.042,0.047,0.037,0.034,0.032,0.029,0.031,0.046,0.031,0.043,0.033,0.026,0.029,0.031,0.032,0.037,0.033,0.03,0.025,0.029,0.07,0.037,0.055,0.034,1463821.0,1824965.847446
50008,0.022,0.022,0.022,0.037,0.017,0.029,0.031,0.031,0.034,0.036,0.028,0.033,0.029,0.027,0.013,0.017,0.023,0.033,0.023,0.036,0.023,0.024,0.024,0.027,0.033,0.03,0.025,0.024,0.024,0.029,0.043,0.022,0.064,0.03,1199387.0,1435951.1071
50009,0.022,0.014,0.027,0.033,0.03,0.039,0.03,0.043,0.026,0.039,0.031,0.042,0.044,0.035,0.019,0.026,0.029,0.031,0.028,0.043,0.03,0.026,0.031,0.028,0.036,0.036,0.029,0.028,0.03,0.027,0.052,0.047,0.044,0.03,1298646.0,1869953.494193
50010,0.018,0.02,0.022,0.032,0.027,0.034,0.03,0.034,0.029,0.038,0.031,0.04,0.044,0.031,0.034,0.02,0.02,0.047,0.029,0.037,0.024,0.03,0.023,0.024,0.057,0.033,0.025,0.025,0.027,0.029,0.047,0.05,0.046,0.039,878624.0,1072020.072947
50011,0.017,0.016,0.022,0.046,0.029,0.029,0.03,0.036,0.026,0.042,0.03,0.039,0.033,0.027,0.027,0.022,0.02,0.032,0.022,0.037,0.026,0.025,0.024,0.028,0.031,0.033,0.028,0.028,0.022,0.029,0.063,0.032,0.044,0.036,1344647.0,1637508.988364
50012,0.022,0.022,0.02,0.029,0.028,0.029,0.026,0.027,0.024,0.032,0.028,0.032,0.034,0.024,0.024,0.016,0.022,0.029,0.025,0.027,0.024,0.021,0.023,0.024,0.028,0.03,0.027,0.024,0.022,0.027,0.037,0.027,0.03,0.033,1193247.0,1378539.009132
50013,0.022,0.02,0.022,0.038,0.038,0.034,0.025,0.033,0.027,0.042,0.037,0.047,0.038,0.035,0.028,0.02,0.028,0.036,0.03,0.043,0.028,0.022,0.024,0.026,0.03,0.03,0.028,0.026,0.026,0.027,0.052,0.045,0.039,0.038,1133969.0,1410565.477549
50014,0.009,0.028,0.029,0.035,0.024,0.03,0.027,0.034,0.03,0.037,0.036,0.039,0.048,0.033,0.028,0.02,0.029,0.037,0.033,0.033,0.027,0.023,0.025,0.023,0.035,0.037,0.03,0.026,0.029,0.031,0.072,0.05,0.03,0.029,1171436.0,1486394.302118
50015,0.022,0.044,0.029,0.048,0.03,0.039,0.032,0.036,0.031,0.05,0.043,0.05,0.046,0.037,0.03,0.029,0.026,0.046,0.033,0.04,0.028,0.031,0.028,0.035,0.038,0.04,0.036,0.039,0.027,0.034,0.083,0.051,0.047,0.032,1181995.0,1573455.174632
50016,0.025,0.022,0.024,0.04,0.02,0.03,0.029,0.04,0.034,0.044,0.03,0.038,0.034,0.033,0.027,0.022,0.025,0.049,0.029,0.041,0.027,0.035,0.026,0.029,0.036,0.033,0.029,0.027,0.027,0.03,0.057,0.03,0.038,0.037,1476326.0,1434693.225641
50017,0.019,0.031,0.041,0.07,0.052,0.057,0.049,0.055,0.045,0.069,0.054,0.075,0.058,0.044,0.04,0.038,0.04,0.053,0.04,0.076,0.038,0.034,0.041,0.04,0.053,0.053,0.042,0.041,0.045,0.047,0.081,0.086,0.051,0.055,1205346.0,1747757.838564
50019,0.023,0.014,0.025,0.045,0.027,0.037,0.035,0.039,0.031,0.057,0.041,0.054,0.031,0.032,0.017,0.03,0.022,0.042,0.026,0.047,0.028,0.024,0.033,0.035,0.03,0.032,0.029,0.032,0.031,0.032,0.051,0.033,0.033,0.043,1457807.0,1929665.777531
50020,0.027,0.026,0.032,0.045,0.037,0.036,0.031,0.038,0.033,0.042,0.051,0.044,0.046,0.039,0.019,0.025,0.028,0.055,0.031,0.041,0.031,0.032,0.032,0.035,0.044,0.036,0.034,0.028,0.03,0.03,0.05,0.04,0.047,0.036,1189295.0,1490953.823793
50022,0.019,0.017,0.023,0.04,0.021,0.029,0.029,0.028,0.032,0.045,0.034,0.046,0.038,0.027,0.018,0.021,0.024,0.038,0.025,0.047,0.027,0.022,0.026,0.03,0.026,0.036,0.026,0.025,0.025,0.027,0.048,0.045,0.04,0.028,1297881.0,1612653.098051
50023,0.017,0.024,0.019,0.038,0.026,0.034,0.024,0.033,0.032,0.04,0.033,0.043,0.04,0.027,0.04,0.027,0.023,0.023,0.022,0.038,0.024,0.024,0.024,0.023,0.035,0.028,0.027,0.026,0.02,0.028,0.037,0.035,0.032,0.04,1304612.0,1497560.568003
50024,0.015,0.023,0.024,0.037,0.019,0.029,0.026,0.027,0.034,0.04,0.033,0.037,0.032,0.027,0.026,0.021,0.022,0.032,0.025,0.036,0.024,0.027,0.021,0.025,0.029,0.034,0.027,0.025,0.025,0.027,0.053,0.035,0.038,0.036,1205734.0,1572087.430663
50025,0.02,0.015,0.024,0.038,0.027,0.036,0.025,0.03,0.02,0.04,0.029,0.04,0.04,0.021,0.019,0.023,0.02,0.028,0.024,0.033,0.021,0.024,0.023,0.023,0.027,0.03,0.025,0.022,0.019,0.024,0.044,0.027,0.03,0.029,966997.0,1024959.415721
50026,0.015,0.018,0.027,0.049,0.033,0.033,0.027,0.037,0.038,0.043,0.038,0.047,0.04,0.032,0.025,0.028,0.022,0.04,0.029,0.046,0.028,0.027,0.032,0.032,0.03,0.039,0.033,0.027,0.029,0.029,0.053,0.051,0.034,0.043,1290893.0,1681242.005146
50027,0.015,0.02,0.02,0.034,0.016,0.029,0.026,0.027,0.028,0.034,0.04,0.036,0.047,0.025,0.031,0.017,0.02,0.037,0.02,0.042,0.023,0.026,0.018,0.027,0.044,0.027,0.025,0.026,0.02,0.022,0.046,0.044,0.05,0.038,1001063.0,1012846.696334
50028,0.017,0.021,0.023,0.042,0.026,0.03,0.03,0.029,0.026,0.039,0.03,0.041,0.029,0.026,0.02,0.022,0.027,0.042,0.03,0.036,0.025,0.02,0.026,0.026,0.032,0.031,0.025,0.024,0.021,0.025,0.042,0.032,0.036,0.032,1368389.0,1734834.62719
50029,0.015,0.024,0.02,0.038,0.038,0.032,0.028,0.032,0.026,0.035,0.034,0.038,0.041,0.028,0.03,0.02,0.026,0.029,0.027,0.031,0.025,0.026,0.022,0.029,0.028,0.03,0.027,0.025,0.022,0.029,0.066,0.043,0.032,0.03,1362397.0,1706167.148679
50030,0.017,0.025,0.022,0.034,0.023,0.028,0.026,0.029,0.027,0.033,0.03,0.033,0.031,0.025,0.021,0.019,0.018,0.029,0.025,0.036,0.021,0.024,0.022,0.028,0.034,0.032,0.026,0.026,0.019,0.026,0.039,0.05,0.025,0.031,1230842.0,1339573.477889
