rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
50002,946.0,775.0,2828.0,1816.0,323.0,3335.0,5732.0,3740.0,1009.0,6050.0,3292.0,4104.0,2584.0,4299.0,621.0,1646.0,1728.0,962.0,1827.0,1915.0,4198.0,1464.0,5630.0,3731.0,657.0,7041.0,9201.0,5133.0,3748.0,3916.0,416.0,502.0,440.0,2647.0,98255.8,1321770.0,1581680.648957
50003,892.0,827.0,2275.0,1710.0,354.0,3166.0,4645.0,3087.0,958.0,4628.0,2595.0,3720.0,2063.0,3508.0,651.0,1748.0,1731.0,829.0,1663.0,1570.0,4830.0,1540.0,5778.0,4922.0,470.0,5163.0,7539.0,5730.0,4091.0,4238.0,301.0,461.0,447.0,2484.0,90617.1,1227397.0,1249185.244084
50004,1038.0,900.0,2671.0,1774.0,412.0,3192.0,6899.0,3395.0,1026.0,5854.0,3310.0,3264.0,2189.0,3898.0,561.0,1838.0,1406.0,1004.0,1721.0,1420.0,4012.0,1378.0,5714.0,4930.0,746.0,6136.0,7758.0,5783.0,4303.0,3225.0,342.0,440.0,388.0,2832.0,95757.2,1298281.0,1615701.767035
50005,955.0,637.0,2338.0,1482.0,322.0,3322.0,5559.0,2903.0,921.0,5149.0,2707.0,2438.0,2383.0,3643.0,735.0,1441.0,1285.0,857.0,1632.0,1182.0,4110.0,1366.0,5211.0,4028.0,562.0,5627.0,7947.0,4701.0,4301.0,3432.0,361.0,398.0,465.0,2482.0,86878.1,1145298.0,1529550.028163
50006,847.0,1023.0,2008.0,1684.0,418.0,3354.0,6364.0,3635.0,1027.0,5476.0,3126.0,3363.0,2197.0,3501.0,671.0,1809.0,1575.0,1085.0,1597.0,1519.0,4022.0,1683.0,4564.0,5206.0,763.0,6824.0,7912.0,5507.0,3788.0,3701.0,397.0,460.0,333.0,2166.0,93607.5,1272491.0,1538144.912988
50007,1177.0,945.0,3048.0,2047.0,350.0,3773.0,5631.0,4223.0,1381.0,7069.0,3458.0,4054.0,2649.0,5115.0,891.0,2358.0,1495.0,1067.0,1979.0,1903.0,5845.0,1850.0,6542.0,6159.0,733.0,7711.0,9787.0,6617.0,4728.0,5410.0,396.0,591.0,396.0,3140.0,114514.0,1463821.0,1824965.847446
50008,915.0,708.0,2583.0,1822.0,388.0,3561.0,4699.0,3780.0,929.0,5156.0,2858.0,3317.0,2314.0,3533.0,666.0,1589.0,1413.0,866.0,1662.0,1703.0,4110.0,1194.0,5197.0,4184.0,666.0,5327.0,8830.0,6342.0,3371.0,4203.0,317.0,598.0,390.0,2425.0,91616.7,1199387.0,1435951.1071
50009,1190.0,1232.0,2473.0,1719.0,406.0,3039.0,5742.0,3653.0,1136.0,5464.0,3159.0,3720.0,2694.0,4102.0,722.0,1767.0,1371.0,948.0,1578.0,1526.0,4536.0,1437.0,5592.0,4819.0,958.0,6218.0,7538.0,6338.0,4615.0,4315.0,466.0,486.0,430.0,2391.0,97783.3,1298646.0,1869953.494193
50010,632.0,513.0,1207.0,1425.0,252.0,2475.0,4053.0,1956.0,649.0,3965.0,2067.0,2780.0,1585.0,2253.0,544.0,1336.0,923.0,642.0,936.0,1396.0,2991.0,867.0,3389.0,2861.0,442.0,3418.0,5283.0,3740.0,2742.0,2531.0,258.0,420.0,241.0,1783.0,62555.5,878624.0,1072020.072947
50011,1097.0,806.0,2823.0,1717.0,369.0,3834.0,6994.0,3937.0,1200.0,5574.0,3223.0,3624.0,2536.0,4837.0,804.0,1947.0,1461.0,1046.0,2180.0,1753.0,5476.0,1623.0,5709.0,4797.0,668.0,8233.0,9626.0,6391.0,4819.0,5178.0,438.0,460.0,529.0,2720.0,108428.0,1344647.0,1637508.988364
