rh.aparc.curvind,rh_bankssts_curvind,rh_caudalanteriorcingulate_curvind,rh_caudalmiddlefrontal_curvind,rh_cuneus_curvind,rh_entorhinal_curvind,rh_fusiform_curvind,rh_inferiorparietal_curvind,rh_inferiortemporal_curvind,rh_isthmuscingulate_curvind,rh_lateraloccipital_curvind,rh_lateralorbitofrontal_curvind,rh_lingual_curvind,rh_medialorbitofrontal_curvind,rh_middletemporal_curvind,rh_parahippocampal_curvind,rh_paracentral_curvind,rh_parsopercularis_curvind,rh_parsorbitalis_curvind,rh_parstriangularis_curvind,rh_pericalcarine_curvind,rh_postcentral_curvind,rh_posteriorcingulate_curvind,rh_precentral_curvind,rh_precuneus_curvind,rh_rostralanteriorcingulate_curvind,rh_rostralmiddlefrontal_curvind,rh_superiorfrontal_curvind,rh_superiorparietal_curvind,rh_superiortemporal_curvind,rh_supramarginal_curvind,rh_frontalpole_curvind,rh_temporalpole_curvind,rh_transversetemporal_curvind,rh_insula_curvind,BrainSegVolNotVent,eTIV
50002,0.9,1.3,3.4,4.1,0.3,4.8,9.1,6.7,1.6,11.9,7.8,10.0,5.0,6.8,0.8,3.0,1.8,1.7,2.1,3.9,5.4,2.7,7.6,6.1,1.2,14.2,14.7,7.0,5.0,5.8,1.1,0.7,1.2,5.3,1321770.0,1581680.648957
50003,1.0,1.1,3.7,5.3,0.9,6.8,8.7,8.4,2.4,12.2,7.2,9.2,4.9,6.5,1.3,3.0,3.7,1.9,3.0,3.7,8.3,3.4,11.4,10.0,1.0,12.1,13.7,10.2,6.8,8.2,0.8,1.3,1.2,5.3,1227397.0,1249185.244084
50004,1.1,2.0,3.7,3.5,0.4,4.8,9.9,6.9,2.7,12.1,7.1,7.4,3.6,5.8,0.7,2.5,1.8,1.6,2.7,2.5,5.9,2.4,8.4,7.3,1.4,10.9,12.0,8.8,5.8,4.8,0.8,1.3,0.6,6.7,1298281.0,1615701.767035
50005,1.2,0.8,3.0,2.8,0.5,6.5,8.9,7.1,1.5,11.2,7.4,5.7,6.4,5.3,1.1,2.4,1.7,1.6,2.4,2.9,6.3,2.2,7.7,6.1,1.1,12.0,13.0,7.6,6.1,4.7,1.0,0.6,1.4,4.9,1145298.0,1529550.028163
50006,1.4,1.6,2.5,3.3,0.6,5.6,10.2,6.1,1.5,11.3,7.8,8.0,4.1,6.2,1.1,3.0,2.1,2.1,2.1,3.0,5.9,2.9,6.8,8.5,1.7,12.3,12.5,8.6,6.4,6.1,1.3,1.2,0.8,3.2,1272491.0,1538144.912988
50007,1.4,1.5,4.9,5.0,0.7,8.3,9.2,9.2,2.8,17.0,9.0,10.8,6.6,8.4,2.3,4.2,2.3,2.6,3.3,4.1,9.8,3.1,11.9,10.8,1.4,17.0,18.0,12.1,7.0,10.1,1.2,1.6,1.0,8.0,1463821.0,1824965.847446
50008,1.3,0.8,3.7,4.1,0.4,5.8,8.1,6.2,1.5,10.8,5.7,7.5,4.2,6.4,0.8,2.4,2.4,1.4,2.1,4.2,6.4,2.4,7.8,6.8,1.2,9.1,13.1,10.5,5.4,7.1,0.7,0.8,1.2,5.6,1199387.0,1435951.1071
50009,2.0,1.9,3.7,4.6,0.8,5.5,9.8,8.3,2.0,13.9,7.6,10.0,4.8,7.8,0.8,3.1,2.2,1.9,2.8,4.0,8.4,2.8,10.3,9.1,1.4,12.2,13.4,10.1,8.2,7.7,1.4,1.4,1.0,4.5,1298646.0,1869953.494193
50010,0.8,1.1,1.6,2.9,0.5,4.7,6.6,4.0,1.1,8.1,6.2,6.4,3.0,3.3,1.4,2.0,1.4,0.9,1.6,2.8,4.2,1.6,4.9,4.5,0.6,5.7,8.2,6.2,3.3,3.8,0.6,0.9,0.4,3.0,878624.0,1072020.072947
50011,1.4,0.8,3.8,4.7,0.6,6.3,12.4,6.9,1.9,12.5,7.3,7.5,5.1,8.6,1.0,2.9,1.7,2.1,2.9,3.3,7.6,2.8,7.9,8.6,0.9,16.5,15.5,10.2,7.0,8.7,1.3,0.6,1.6,5.3,1344647.0,1637508.988364
50012,1.0,0.9,2.0,3.5,0.9,6.9,10.2,5.6,2.0,8.8,5.4,7.5,4.2,5.4,1.0,1.6,1.7,1.6,2.6,3.6,4.9,1.5,6.2,6.6,0.9,10.0,9.3,8.6,5.1,6.3,1.0,0.7,0.5,3.9,1193247.0,1378539.009132
50013,0.8,0.8,3.3,2.4,1.1,5.2,7.7,5.6,1.7,9.7,5.2,7.7,4.1,5.4,0.9,1.8,1.8,2.0,2.1,2.5,5.7,2.1,7.4,6.2,0.8,9.2,9.7,7.9,4.7,5.5,0.7,1.1,0.6,3.5,1133969.0,1410565.477549
50014,1.9,1.0,3.2,3.7,0.7,6.6,9.1,6.5,1.7,11.8,6.0,7.4,4.6,7.3,0.8,1.8,2.5,2.6,4.4,2.9,5.3,2.0,8.0,6.4,1.0,9.2,11.1,8.6,5.8,7.5,1.0,1.1,1.3,3.6,1171436.0,1486394.302118
50015,1.1,1.1,3.7,3.9,0.9,7.9,11.7,7.7,2.1,12.4,8.0,8.0,4.7,8.1,1.2,3.9,2.7,2.3,4.0,3.5,6.3,2.4,9.4,8.7,1.1,11.5,12.5,12.0,6.5,8.1,1.1,1.7,1.4,5.2,1181995.0,1573455.174632
50016,1.6,1.3,4.4,6.1,1.1,7.4,11.4,10.1,1.9,13.1,7.3,12.3,5.4,8.6,1.1,3.6,2.4,2.3,3.3,4.7,8.3,2.8,9.5,11.5,1.5,15.1,18.3,12.1,7.1,9.7,1.2,1.2,0.8,7.3,1476326.0,1434693.225641
50017,1.8,1.3,5.6,7.1,1.2,6.3,15.4,10.9,2.0,16.1,6.1,11.7,8.1,9.1,1.1,2.8,2.6,1.7,3.7,5.5,11.0,2.4,15.3,11.8,0.8,14.8,16.7,12.0,8.7,12.3,1.2,2.0,1.3,7.3,1205346.0,1747757.838564
50019,2.1,1.0,4.9,5.0,1.5,8.0,12.7,9.2,2.4,16.9,10.3,7.3,5.6,8.6,0.7,4.5,2.8,2.4,3.1,3.6,9.5,2.4,12.1,9.2,2.2,16.5,17.8,11.1,8.3,6.7,1.2,1.3,1.0,6.0,1457807.0,1929665.777531
50020,1.4,1.0,2.7,4.8,0.8,8.8,12.1,8.6,1.8,13.0,8.4,10.2,6.0,7.8,1.1,3.0,3.4,3.3,3.7,4.5,7.1,3.1,8.7,8.2,1.1,11.5,12.7,10.5,6.9,8.1,1.3,0.9,1.2,7.3,1189295.0,1490953.823793
50022,1.1,1.3,3.5,4.0,1.6,6.1,9.8,6.7,1.5,14.4,8.7,12.2,5.2,5.7,1.0,3.2,2.5,2.1,4.0,4.1,6.6,2.3,7.5,5.6,1.6,15.0,13.8,8.4,5.7,6.6,0.8,1.9,0.8,4.3,1297881.0,1612653.098051
50023,1.2,1.0,2.8,3.7,0.6,5.7,9.3,5.3,2.0,9.9,7.0,9.0,4.3,6.4,3.3,2.6,2.3,1.7,1.5,3.6,5.8,2.8,7.0,7.4,1.0,12.1,12.6,8.4,6.8,6.0,0.7,1.0,0.7,4.8,1304612.0,1497560.568003
50024,1.1,1.1,3.2,3.8,0.4,3.8,7.6,6.0,1.3,10.7,7.3,7.7,3.7,6.6,1.1,1.9,1.7,1.6,2.1,3.1,5.7,2.4,6.1,5.2,0.9,13.0,13.1,8.1,6.3,6.1,1.2,0.6,0.5,4.7,1205734.0,1572087.430663
50025,0.6,0.7,2.2,3.0,0.3,6.0,6.4,6.0,1.2,9.6,4.8,6.8,3.2,4.3,0.7,1.7,1.7,1.1,2.3,3.1,3.7,1.5,6.1,5.3,0.7,7.7,8.1,6.7,3.9,3.6,0.8,0.8,0.5,3.5,966997.0,1024959.415721
50026,1.3,1.0,3.9,4.9,1.2,5.9,10.3,7.2,2.1,13.3,8.7,8.1,4.4,7.4,1.2,3.1,3.4,1.8,2.9,3.0,9.3,1.8,11.1,8.4,1.1,13.5,17.0,8.9,6.2,8.3,1.4,1.5,0.9,4.6,1290893.0,1681242.005146
50027,0.9,0.8,1.6,3.2,0.6,5.3,7.4,4.3,1.0,8.2,4.4,8.6,5.0,5.3,1.2,1.8,1.7,1.4,1.9,4.1,4.9,1.7,5.9,5.9,1.2,8.7,8.7,8.0,3.4,4.3,1.4,0.7,0.4,3.1,1001063.0,1012846.696334
50028,1.8,1.7,2.8,3.9,0.7,4.8,10.8,6.8,1.8,10.5,8.2,8.5,8.0,7.3,0.8,4.0,2.3,2.0,2.7,3.7,7.3,2.5,8.6,9.1,0.9,15.0,14.4,9.2,5.4,6.9,1.5,1.3,0.9,4.3,1368389.0,1734834.62719
50029,1.1,1.1,4.1,4.0,0.4,6.3,10.1,6.3,1.9,11.1,6.2,7.4,6.6,7.0,1.1,1.9,2.2,2.9,2.8,3.5,7.1,2.1,6.1,8.7,1.3,13.7,13.0,10.3,5.6,6.4,0.9,1.0,1.3,5.7,1362397.0,1706167.148679
50030,1.4,1.3,3.8,4.9,0.6,5.1,10.8,5.9,1.8,11.4,5.5,8.9,4.4,6.6,0.8,2.2,1.9,1.7,2.5,3.9,4.9,1.6,8.0,6.2,1.4,12.8,12.5,8.1,5.1,5.5,1.1,1.0,0.5,5.2,1230842.0,1339573.477889
50031,1.2,1.9,3.9,3.6,0.9,5.8,10.5,6.7,2.5,9.9,5.5,8.9,4.4,6.1,2.1,2.7,1.9,2.5,2.7,3.5,9.5,2.2,9.7,7.5,1.2,15.1,12.4,10.6,5.4,8.3,1.7,1.5,1.5,6.3,1272024.0,1426483.117163
50032,1.3,0.9,3.9,4.3,0.4,7.6,10.3,7.3,2.0,11.4,7.0,7.5,3.8,7.1,0.8,3.3,2.0,2.2,2.2,3.9,7.2,2.7,10.0,7.1,1.7,11.6,12.2,10.0,6.9,6.3,1.2,0.7,0.9,4.9,1284205.0,1323468.475827
50033,1.3,1.3,3.4,4.0,1.4,5.6,10.4,6.6,2.3,10.5,7.5,9.1,5.3,6.1,0.8,2.7,1.7,1.7,3.2,4.5,5.9,3.0,7.8,8.5,1.2,13.1,12.4,10.4,4.9,6.3,0.5,0.6,0.7,5.0,1207268.0,1291299.506989
50034,1.0,1.1,3.3,4.0,0.4,6.6,8.7,5.6,1.3,10.2,6.4,8.9,4.2,5.1,1.6,2.8,1.7,1.5,3.3,3.2,5.8,2.2,6.7,7.5,1.1,12.1,11.5,10.3,4.4,7.0,1.1,1.2,0.7,5.4,1222079.0,1342466.211523
50035,1.3,0.8,3.3,3.7,1.1,5.8,8.6,6.7,1.6,9.5,7.1,6.6,7.7,6.6,0.6,2.0,1.5,2.0,2.5,3.2,5.1,2.0,8.3,4.9,1.2,12.3,12.1,8.4,4.8,5.0,1.1,1.0,0.4,3.7,1227986.0,1272293.900367
50036,1.6,2.0,2.8,3.4,0.9,4.9,9.6,6.7,1.4,10.2,7.2,12.1,6.2,6.2,1.8,2.6,2.2,1.9,2.8,4.4,7.1,2.5,8.0,7.7,1.3,13.3,13.6,9.0,7.0,7.4,1.0,1.3,0.8,5.4,1171842.0,1294909.179202
50037,0.7,1.0,3.5,4.2,0.9,5.6,7.6,5.2,1.2,10.0,6.4,7.9,6.2,4.8,0.8,2.7,2.3,1.7,1.9,3.0,4.6,2.2,6.6,7.2,1.0,11.7,12.7,8.4,3.8,6.2,1.3,1.1,0.5,3.0,1234693.0,1291250.429757
50038,1.7,1.0,2.1,3.4,1.0,4.7,9.5,5.8,1.4,9.6,6.5,7.1,6.0,6.4,0.6,2.4,1.2,1.5,2.3,3.9,4.6,2.4,5.1,6.0,0.4,11.6,11.4,8.5,5.0,6.2,0.9,1.0,1.0,3.8,1103888.0,1090922.911511
50039,0.9,1.1,4.4,3.8,0.7,6.2,7.7,6.8,1.3,11.9,5.7,6.6,4.6,5.9,0.7,3.2,2.3,1.7,2.7,3.3,6.2,2.0,8.5,6.6,0.9,11.6,14.4,9.6,4.9,6.5,0.9,1.0,0.8,3.7,1205799.0,1475934.856553
50040,0.9,1.2,2.8,3.2,0.2,5.6,8.3,5.5,1.1,11.0,4.7,8.0,4.1,5.4,0.7,2.2,1.9,1.6,2.4,3.6,5.1,1.7,6.3,5.9,0.9,11.4,9.9,6.6,3.8,5.8,0.6,0.9,0.5,4.2,1185658.0,1165558.865974
50041,1.4,1.0,3.4,3.1,0.5,6.3,9.7,7.0,1.7,10.2,7.0,4.7,4.6,7.0,1.1,2.9,2.0,1.8,2.7,2.1,4.7,1.6,7.6,8.0,1.1,12.3,13.4,9.1,5.2,6.5,0.9,1.6,1.3,5.0,1228514.0,1304303.180035
50042,1.0,0.9,3.4,3.9,0.8,6.7,8.3,6.0,1.5,12.3,5.7,9.1,3.7,5.0,1.5,2.1,1.8,1.4,2.0,3.8,6.2,1.9,7.6,6.6,2.0,9.1,11.0,7.3,5.0,5.6,0.7,2.0,0.6,4.3,1141581.0,1244253.141275
50043,0.7,1.2,2.8,4.0,2.3,5.2,7.6,6.3,1.6,11.5,6.1,7.6,7.2,4.8,1.5,2.4,1.6,1.7,2.5,3.4,5.2,2.0,7.8,5.3,1.2,11.0,12.0,6.7,5.6,4.6,1.2,0.8,0.6,4.3,1217159.0,1466369.225368
50044,1.3,1.1,3.0,4.6,1.1,6.3,7.2,6.3,1.8,12.0,7.5,9.0,4.7,5.0,1.0,2.0,2.2,2.1,2.7,5.0,6.0,1.6,8.0,5.8,1.1,11.4,11.9,8.3,7.2,5.7,0.7,1.4,0.9,4.6,1296990.0,1376479.486895
50045,1.1,1.4,3.9,4.8,0.9,7.0,11.4,6.5,1.7,14.4,7.9,9.4,7.9,7.0,0.9,3.9,2.3,2.1,3.2,6.1,9.6,2.7,8.9,6.0,1.5,12.4,14.6,10.2,6.4,8.3,1.0,1.3,1.6,6.2,1440349.0,1683419.16261
