rh.aparc.volume,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
50002,2550.0,2049.0,8499.0,4413.0,1819.0,10485.0,17027.0,12569.0,3097.0,15129.0,9745.0,9397.0,7225.0,15171.0,1885.0,4491.0,5369.0,3402.0,6054.0,2826.0,10366.0,4083.0,17324.0,10156.0,2261.0,22027.0,31907.0,13976.0,13157.0,11984.0,1451.0,2828.0,1119.0,7797.0,1321770.0,1581680.648957
50003,2323.0,2517.0,6407.0,3413.0,1531.0,9413.0,12188.0,9603.0,2331.0,11904.0,6262.0,8164.0,5814.0,11900.0,1968.0,4120.0,4885.0,3290.0,5071.0,2350.0,10763.0,4259.0,14903.0,11601.0,1613.0,16198.0,25941.0,13288.0,12796.0,11152.0,1000.0,2011.0,879.0,5798.0,1227397.0,1249185.244084
50004,2658.0,2506.0,8033.0,3445.0,1654.0,10196.0,19448.0,10841.0,2598.0,14872.0,9405.0,6885.0,5777.0,14256.0,1826.0,5297.0,3738.0,3784.0,5082.0,1894.0,9259.0,3885.0,15682.0,13100.0,2134.0,17951.0,25559.0,15346.0,15028.0,9196.0,1365.0,2748.0,1057.0,8292.0,1298281.0,1615701.767035
50005,2804.0,1832.0,7195.0,2844.0,1700.0,9949.0,16560.0,9471.0,2611.0,12056.0,7798.0,4905.0,6571.0,14454.0,1968.0,4276.0,3912.0,3469.0,5939.0,1576.0,11451.0,3947.0,15730.0,11512.0,1709.0,18330.0,28705.0,12788.0,15062.0,10898.0,1667.0,2182.0,948.0,6443.0,1145298.0,1529550.028163
50006,2227.0,2620.0,6892.0,3496.0,1860.0,11095.0,21282.0,13111.0,2780.0,15015.0,9849.0,7839.0,6712.0,12912.0,1882.0,5442.0,5511.0,4440.0,5338.0,2156.0,10264.0,4826.0,13320.0,14391.0,2184.0,21722.0,28097.0,15971.0,13783.0,10898.0,1817.0,2732.0,1006.0,6398.0,1272491.0,1538144.912988
50007,2994.0,2685.0,8661.0,4182.0,1730.0,10672.0,14427.0,12436.0,3643.0,16325.0,10358.0,8944.0,6929.0,17032.0,2100.0,5878.0,4207.0,3334.0,5922.0,2510.0,13086.0,5289.0,17365.0,14947.0,2319.0,22279.0,31405.0,15772.0,14378.0,15204.0,1438.0,2051.0,785.0,7874.0,1463821.0,1824965.847446
50008,2275.0,1869.0,7067.0,3599.0,1826.0,10833.0,12268.0,11343.0,2510.0,12476.0,8067.0,7210.0,5903.0,11597.0,1941.0,4322.0,4016.0,3049.0,4260.0,2181.0,9295.0,3286.0,14741.0,10427.0,1995.0,13723.0,27569.0,15036.0,10664.0,10993.0,1054.0,3025.0,849.0,6349.0,1199387.0,1435951.1071
50009,2739.0,3377.0,6847.0,3109.0,1966.0,8229.0,15506.0,12270.0,2619.0,13137.0,8924.0,7206.0,6949.0,12576.0,1644.0,4837.0,3822.0,3137.0,4228.0,1862.0,11134.0,3472.0,15756.0,11717.0,2861.0,17068.0,22794.0,16091.0,13876.0,11702.0,1576.0,2388.0,864.0,7044.0,1298646.0,1869953.494193
50010,1517.0,1608.0,3617.0,3118.0,1123.0,7785.0,11512.0,5969.0,1862.0,9519.0,5561.0,5786.0,4826.0,8596.0,1665.0,3748.0,2719.0,2466.0,2968.0,1745.0,6957.0,2393.0,9744.0,6822.0,1668.0,10118.0,18210.0,8471.0,9594.0,7070.0,988.0,2639.0,611.0,5693.0,878624.0,1072020.072947
50011,2483.0,2043.0,8946.0,3197.0,2068.0,11203.0,18420.0,13579.0,3213.0,14188.0,9940.0,7264.0,7232.0,17237.0,2225.0,5356.0,4443.0,3643.0,6024.0,2569.0,13723.0,4246.0,16940.0,12579.0,1995.0,24341.0,31149.0,14891.0,14610.0,14784.0,1698.0,2491.0,998.0,8239.0,1344647.0,1637508.988364
50012,2555.0,1968.0,3896.0,3192.0,1612.0,9953.0,19334.0,8239.0,2898.0,11332.0,8553.0,7460.0,5687.0,12834.0,2407.0,3528.0,4073.0,3381.0,6413.0,2118.0,8280.0,3014.0,11901.0,12054.0,1876.0,15698.0,19559.0,15536.0,14624.0,11688.0,1479.0,2420.0,903.0,7159.0,1193247.0,1378539.009132
50013,2056.0,1522.0,7193.0,3164.0,1983.0,11559.0,17224.0,11311.0,2639.0,12963.0,7659.0,6587.0,6012.0,12319.0,1883.0,4410.0,4243.0,3876.0,4854.0,1805.0,11269.0,3617.0,14484.0,13479.0,1971.0,17765.0,23961.0,16135.0,12029.0,10684.0,1917.0,3030.0,836.0,5882.0,1133969.0,1410565.477549
50014,2267.0,1995.0,6382.0,3232.0,1821.0,11461.0,15602.0,10891.0,3030.0,13307.0,8150.0,7448.0,5050.0,14881.0,2648.0,3704.0,5572.0,3979.0,7471.0,1799.0,10032.0,3440.0,15547.0,12255.0,1693.0,15402.0,23013.0,15350.0,14313.0,12734.0,1074.0,3155.0,1200.0,6448.0,1171436.0,1486394.302118
50015,2342.0,1626.0,6638.0,3352.0,1896.0,10225.0,16581.0,11801.0,3593.0,12347.0,8557.0,7190.0,6125.0,14884.0,2694.0,4578.0,4940.0,4164.0,6190.0,2010.0,10291.0,3670.0,15714.0,12203.0,1931.0,15333.0,23338.0,16612.0,15244.0,13419.0,2023.0,2224.0,1130.0,6630.0,1181995.0,1573455.174632
50016,2825.0,2445.0,8309.0,4033.0,2479.0,12027.0,16970.0,15837.0,2794.0,14909.0,8674.0,8737.0,7253.0,14914.0,2455.0,5017.0,5821.0,3585.0,6951.0,2702.0,10956.0,4254.0,17666.0,15259.0,2938.0,21655.0,33475.0,17830.0,15050.0,14510.0,1553.0,3738.0,907.0,8613.0,1476326.0,1434693.225641
